component_id,description,voltage_class,hp_min,hp_max,current_min_a,current_max_a,p25_usd,median_usd,p75_usd,last_confirmed,source_type,source_url,confidence,notes
line_reactor,Reactor 3% 180HP 440V,480,150,225,220,380,1800,2340,3600,2026-05-20,ledger,https://www.google.com/search?q=reactor+linea+180HP+440V+Ecuador,0.42,RFQ obligatorio
cabinet,Gabinete industrial 600x400x250,any,1,30,0,90,95,135,240,2026-05-20,ledger,https://www.google.com/search?q=gabinete+metalico+600x400+Ecuador,0.7,tableros pequeños
cabinet,Gabinete/panel VFD alta potencia,480,75,250,150,600,650,950,1800,2026-05-20,ledger,https://www.google.com/search?q=gabinete+tablero+variador+180HP+Ecuador,0.45,tamaño definido por layout térmico
power_cable,Cable THHN Cu #12,240,1,15,0,25,1.3,2.45,3.5,2026-05-20,ledger,https://www.google.com/search?q=cable+THHN+%2312+Ecuador,0.7,referencial por metro
power_cable,Cable potencia alta corriente,480,100,250,180,600,18,25,42,2026-05-20,ledger,https://www.google.com/search?q=cable+THHN+alta+corriente+Ecuador,0.35,requiere cálculo dedicado
pressure_sensor,Presostato/transmisor presión industrial,any,1,250,0,600,45,68,140,2026-05-20,ledger,https://www.google.com/search?q=presostato+Danfoss+Ecuador,0.68,bomba/compresor
dry_run_relay,Protección trabajo en seco / relé nivel,any,1,100,0,200,60,95,180,2026-05-20,ledger,https://www.google.com/search?q=proteccion+trabajo+en+seco+bomba+Ecuador,0.6,bomba
flow_switch,Flow switch industrial,any,1,100,0,200,65,110,240,2026-05-20,ledger,https://www.google.com/search?q=flow+switch+bomba+Ecuador,0.55,bomba
unloader_control,Control de descarga / unloader,any,1,250,0,600,65,95,240,2026-05-20,ledger,https://www.google.com/search?q=valvula+unloader+compresor+Ecuador,0.42,confirmar stock/modelo
phase_monitor,Relé monitor de fase industrial,any,1,250,0,600,60,94,140,2026-05-20,ledger,https://www.google.com/search?q=rele+monitor+fase+Ecuador,0.72,común
control_transformer,Transformador control 1-3kVA,any,1,250,0,600,90,125,280,2026-05-20,ledger,https://www.google.com/search?q=transformador+control+2kVA+Ecuador,0.7,común
estop,Paro emergencia 22mm industrial,any,1,250,0,600,15,24,45,2026-05-20,ledger,https://www.google.com/search?q=paro+emergencia+22mm+Ecuador,0.75,común
pushbuttons,Botonera industrial kit,any,1,250,0,600,40,72,130,2026-05-20,ledger,https://www.google.com/search?q=botonera+industrial+Schneider+Ecuador,0.72,común
label_package,Etiquetado y marcadores,any,1,250,0,600,20,32,70,2026-05-20,ledger,https://www.google.com/search?q=marcadores+cables+borneras+Ecuador,0.65,taller
terminal_blocks,Borneras y puentes,any,1,250,0,600,25,38,85,2026-05-20,ledger,https://www.google.com/search?q=borneras+industriales+Ecuador,0.68,taller
wiring_pack,Consumibles cableado tablero,any,1,250,0,600,60,98,180,2026-05-20,ledger,https://www.google.com/search?q=canaleta+punteras+cable+control+Ecuador,0.64,taller
limit_switches,Finales de carrera industriales,any,1,250,0,600,25,38,90,2026-05-20,ledger,https://www.google.com/search?q=final+carrera+industrial+Ecuador,0.68,guinche/banda
brake_rectifier,Rectificador/control freno,any,1,250,0,600,90,142,260,2026-05-20,ledger,https://www.google.com/search?q=rectificador+freno+motor+Ecuador,0.58,guinche
braking_resistor,Resistencia frenado 25HP,480,18,35,35,90,180,247,500,2026-05-20,ledger,https://www.google.com/search?q=resistencia+frenado+variador+25HP+Ecuador,0.45,confirmar fabricante
overload_relay,Relé térmico/sobrecarga 20-40A,any,5,25,10,45,45,66,120,2026-05-20,ledger,https://www.google.com/search?q=rele+sobrecarga+30A+Ecuador,0.7,DOL/star
star_delta_timer,Temporizador estrella-triángulo,any,5,100,0,200,35,55,110,2026-05-20,ledger,https://www.google.com/search?q=temporizador+estrella+triangulo+Ecuador,0.62,star-delta
main_contactor,Contactor principal 25-40A,any,5,25,10,45,65,82,140,2026-05-20,ledger,https://www.google.com/search?q=contactor+40A+Ecuador,0.7,DOL/star
star_contactor,Contactor estrella 25-40A,any,5,25,10,45,65,82,140,2026-05-20,ledger,https://www.google.com/search?q=contactor+estrella+40A+Ecuador,0.7,star
delta_contactor,Contactor triángulo 25-40A,any,5,25,10,45,65,82,140,2026-05-20,ledger,https://www.google.com/search?q=contactor+triangulo+40A+Ecuador,0.7,star
bypass_contactor,Contactor bypass soft starter,any,5,250,10,600,80,120,3200,2026-05-20,ledger,https://www.google.com/search?q=contactor+bypass+soft+starter+Ecuador,0.5,depende de corriente
plc_basic,PLC compacto básico,any,1,250,0,600,250,420,900,2026-05-20,ledger,https://www.google.com/search?q=PLC+compacto+industrial+Ecuador,0.6,PLC/HMI
hmi_basic,HMI 7 pulgadas,any,1,250,0,600,300,520,1100,2026-05-20,ledger,https://www.google.com/search?q=HMI+7+pulgadas+industrial+Ecuador,0.58,PLC/HMI
